Age of Milk (Days Since Birth) ,Fat (g/dL),Protein (g/dL),Lactose (g/dL)
47,3.9,1.2,7.1
297,2.7,1.0,7.2
131,3.3,1.2,7.1
195,2.0,0.7,7.2
98,3.3,0.9,7.4
48,3.2,1.1,7.3
64,3.8,1.1,7.1
10,4.2,1.7,7.0
189,3.5,1.1,7.5
9,3.5,1.4,7.1
142,3.6,1.0,7.2
106,4.2,1.0,6.9
130,2.8,0.7,7.1
12,4.5,1.3,7.0
52,3.6,0.9,7.1
18,4.8,1.3,7.5
28,4.5,1.3,7.1
91,2.9,0.9,7.1
19,2.4,1.2,7.2
214,2.7,0.8,7.1
165,3.7,0.9,7.3
98,3.3,1.0,7.5
175,3.1,0.8,7.2
160,3.1,0.9,7.1
482,6.1,1.2,6.8
138,3.4,1.0,7.4
241,4.6,1.0,7.2
104,4.0,1.1,7.2
44,2.8,1.0,7.3
195,3.7,1.0,7.1
283,5.0,0.8,7.4
104,4.2,1.1,7.1
258,4.2,0.8,7.2
191,4.8,1.0,6.9
338,2.1,0.9,7.5
82,3.1,1.1,7.1
105,3.9,1.0,6.8
139,4.4,1.1,7.1
114,4.5,1.1,7.0
366,3.2,1.0,7.3
274,5.0,0.9,7.0
179,2.2,0.9,7.3
7,3.9,1.6,7.3
84,2.5,1.1,7.1
374,3.3,1.3,7.3
396,3.9,1.3,7.4
382,3.3,1.1,7.1
535,5.2,1.4,7.0
112,3.9,1.2,6.9
58,3.5,1.3,7.2
40,3.9,1.2,7.1
78,3.9,1.2,7.2
80,2.9,0.9,7.4
88,2.9,1.0,7.6
38,3.2,1.4,7.1
51,3.9,1.2,7.2
299,4.8,1.1,7.1
155,2.9,1.0,7.4
89,2.6,0.9,7.2
8,2.3,1.3,7.3
62,3.3,0.9,7.4
8,3.6,1.7,7.2
45,3.9,0.9,7.4
50,3.5,0.9,7.2
138,3.9,0.9,7.3
77,3.9,1.1,7.3
88,4.7,1.3,7.4
41,3.9,1.1,7.1
38,3.3,1.1,7.1
128,3.4,0.9,7.0
229,5.1,1.0,6.9
93,2.0,0.7,7.3
396,2.4,0.8,7.2
293,4.6,1.0,7.2
49,3.4,0.9,7.2
122,3.5,1.0,7.0
122,2.7,1.0,7.0
109,3.0,1.0,7.1
194,2.9,1.0,7.2
149,5.4,1.2,7.2
133,3.1,0.7,7.3
96,3.2,0.9,7.3
60,3.9,1.1,7.2
79,2.8,1.0,6.9
131,4.5,0.9,7.1
287,3.1,1.1,7.1
124,3.8,1.0,6.9
140,3.1,1.0,7.3
80,3.5,1.0,7.3
81,2.6,1.0,7.2
77,2.9,1.3,7.3
12,3.8,1.3,7.9
61,3.4,0.9,7.2
42,2.3,0.9,7.2
114,3.0,0.8,7.0
111,3.2,1.0,7.1
122,3.1,1.0,7.1
98,2.7,1.0,7.1
130,3.1,1.0,7.2
90,2.9,0.9,7.2
26,4.3,1.2,7.2
18,2.7,1.1,7.5
9,2.9,1.4,7.3
59,3.1,1.0,7.1
9,2.5,1.3,7.5
25,3.6,1.3,6.9
14,2.9,1.3,7.4
98,2.8,0.9,7.0
200,4.0,0.9,7.3
183,3.7,0.9,7.1
137,3.0,0.8,7.2
27,4.8,1.5,7.1
60,3.0,1.1,7.3
304,4.4,0.9,7.2
146,3.5,0.9,7.3
237,2.5,0.8,7.2
132,4.1,1.2,7.0
275,3.0,1.0,7.5
277,3.6,1.0,7.5
270,3.1,1.0,7.3
7,3.5,1.3,7.0
602,4.7,1.3,7.0
104,3.2,0.9,7.3
55,3.4,1.3,7.2
91,2.8,1.1,7.3
141,3.4,1.0,7.2
71,2.9,1.2,7.2
112,3.5,0.9,7.3
323,3.4,1.0,7.4
13,3.7,1.4,7.2
10,3.1,1.6,7.3
2,2.9,1.8,7.1
63,3.5,1.0,7.1
56,3.4,1.0,7.2
152,1.6,0.9,7.5
93,4.8,1.3,7.3
215,3.1,0.8,6.8
123,5.1,1.2,7.4
153,1.4,1.0,7.4
243,2.8,0.7,6.9
61,2.6,1.1,7.2
287,4.6,1.0,7.2
68,2.3,0.8,7.2
51,2.4,0.8,7.0
52,2.6,0.9,7.1
479,3.9,1.1,7.0
50,2.8,1.2,7.2
17,4.8,1.7,7.3
66,2.8,1.1,7.1
31,5.8,1.3,7.3
322,4.4,0.8,7.1
309,5.2,0.8,7.1
180,3.4,0.9,7.3
46,2.9,1.1,7.2
64,4.7,1.2,7.2
312,2.4,1.0,7.2
113,4.0,1.0,7.3
38,3.4,1.0,7.1
184,4.2,1.0,6.9
248,3.7,1.0,7.3
16,2.6,1.0,7.2
229,4.0,1.0,7.3
153,3.0,0.9,7.1
284,3.4,1.0,7.4
172,4.1,1.1,7.2
393,4.0,1.5,7.4
154,2.7,0.9,7.0
3,3.8,1.6,7.2
22,3.3,1.4,7.3
87,4.2,0.9,7.1
49,4.0,1.1,7.2
35,3.7,1.3,7.1
313,2.4,1.1,7.3
10,3.5,1.3,7.3
102,4.1,1.2,7.2
9,4.6,2.1,7.1
5,2.9,1.5,7.2
11,4.0,1.4,7.3
55,3.5,1.0,7.1
87,4.1,1.0,7.1
157,4.6,1.0,6.9
31,4.0,1.2,7.2
147,4.4,0.8,7.4
94,1.9,0.7,7.6
81,3.1,1.2,7.2
120,2.8,0.8,7.2
97,2.4,0.9,7.3
98,2.8,0.8,7.3
25,5.5,1.4,7.0
45,2.5,1.1,7.0
30,2.8,1.1,6.9
76,2.6,1.1,7.2
27,3.7,1.2,7.1
102,2.8,0.8,7.3
21,4.0,1.5,7.2
193,2.4,0.9,7.4
20,2.7,1.2,7.5
455,3.6,1.0,7.2
200,3.2,0.9,7.2
222,3.2,0.9,7.3
195,3.3,0.9,7.1
11,3.9,1.4,7.3
19,3.9,1.2,7.3
11,4.1,1.3,7.3
29,3.2,1.2,7.2
32,3.1,1.1,7.2
12,3.0,1.2,7.3
10,3.9,1.3,7.3
84,3.6,1.0,7.3
124,3.3,0.7,7.3
21,4.2,1.0,7.1
20,3.7,1.3,7.1
29,4.1,1.2,7.1
28,3.8,1.2,7.2
84,3.5,0.8,7.2
35,3.8,1.2,7.2
117,3.4,1.0,7.1
173,3.2,1.0,7.3
378,5.5,1.1,7.2
177,3.1,0.9,7.2
147,3.0,1.1,7.2
38,3.1,1.0,7.3
23,4.1,1.0,7.3
25,4.0,1.0,7.4
28,4.0,1.0,7.5
202,3.5,1.0,7.3
121,4.3,1.0,7.2
129,4.2,0.9,7.3
58,3.8,1.2,6.8
327,3.3,1.1,7.1
341,5.7,0.8,7.0
353,5.0,1.2,7.0
22,2.8,1.2,7.4
96,3.1,1.0,6.9
5,2.9,1.5,7.2
120,2.8,0.9,7.0
120,2.8,0.9,7.0
15,2.9,1.5,7.2
10,3.3,1.3,7.3
11,3.3,1.3,7.3
79,3.5,1.1,7.0
18,3.2,1.2,7.1
47,3.8,1.0,7.1
13,3.5,1.4,7.2
61,3.7,1.3,7.2
26,3.7,1.4,7.4
5,4.0,1.5,7.3
247,1.5,0.7,7.3
38,3.9,1.2,7.4
67,3.2,1.0,6.9
207,4.1,1.1,7.0
122,4.1,0.9,7.4
73,3.4,1.0,7.2
43,4.0,0.8,7.3
9,2.8,1.3,7.4
273,4.9,1.0,7.2
94,3.7,1.3,6.6
300,5.1,1.0,7.1
46,4.0,0.8,7.1
20,3.5,1.0,7.1
38,4.1,1.2,7.1
9,4.6,1.5,7.3
34,3.2,1.2,7.2
22,3.8,1.0,7.1
43,5.2,1.3,7.5
158,3.6,0.8,7.1
21,3.6,1.1,7.4
2,3.8,1.3,7.1
57,3.6,1.2,7.1
268,2.3,0.9,7.2
116,5.4,1.0,7.1
91,1.9,1.0,7.1
3,3.2,1.5,7.3
100,2.8,1.2,7.2
8,3.2,1.4,7.4
68,6.0,0.9,6.8
46,2.4,1.0,7.2
207,5.8,1.0,7.2
81,6.5,1.0,7.1
178,5.8,1.0,7.2
143,3.6,1.2,7.1
10,3.5,1.1,7.5
182,3.0,1.0,7.4
82,3.5,1.1,7.4
13,4.7,1.5,7.4
143,4.0,1.2,7.2
6,2.8,1.2,7.6
112,3.8,1.1,7.2
61,5.4,1.1,7.1
144,3.6,1.1,7.2
203,3.8,1.1,7.3
126,3.9,1.1,7.2
15,3.3,1.2,7.1
4,3.0,1.3,7.2
7,2.8,1.2,7.6
33,3.2,1.1,7.4
57,2.3,0.8,7.2
16,3.0,1.1,7.2
63,4.4,0.9,7.2
35,3.0,1.0,7.4
119,1.7,0.8,7.2
42,3.3,1.0,7.4
68,2.7,0.8,7.4
52,3.3,1.0,7.6
48,3.1,1.0,7.4
56,2.6,0.9,7.4
82,2.2,0.7,7.1
45,3.5,0.9,7.2
45,3.7,1.0,7.2
11,3.3,1.5,7.2
84,4.7,1.3,7.1
59,2.3,0.8,7.2
38,3.3,1.0,7.4
44,3.1,1.0,7.5
45,3.1,1.0,7.4
36,3.4,1.2,7.3
72,3.5,0.9,7.2
72,3.7,1.0,7.2
110,2.9,1.1,7.2
109,3.0,0.8,7.2
223,1.4,0.7,7.2
305,3.6,0.9,7.5
8,5.2,1.3,7.5
9,5.2,1.4,7.4
128,3.9,1.1,7.0
131,4.5,1.1,7.3
36,3.4,1.2,7.3
66,3.0,1.1,7.2
7,4.7,1.4,7.2
15,4.4,1.6,7.1
185,2.6,1.0,7.4
91,3.5,1.0,7.5
95,3.3,1.1,7.3
86,3.9,1.0,7.2
201,5.6,1.1,7.6
95,4.2,0.9,7.1
2,4.5,1.3,7.1
66,3.7,1.3,7.1
3,5.2,1.4,7.4
14,3.2,1.7,7.3
46,3.0,1.3,7.2
139,2.0,0.7,7.2
213,0.2,0.9,7.4
7,4.5,1.3,7.1
212,3.4,0.9,7.2
221,3.5,0.9,7.0
35,4.8,1.4,7.0
307,5.3,1.2,7.2
323,4.8,1.1,7.2
339,4.6,1.0,7.0
128,3.6,0.9,7.2
15,3.9,1.5,7.2
4,2.3,1.3,7.0
185,3.8,1.1,7.1
117,3.1,0.9,7.3
46,3.3,1.0,7.3
73,3.3,0.9,7.1
140,4.6,1.0,7.2
84,3.7,1.1,7.1
17,2.9,1.2,7.4
76,3.2,1.2,7.1
17,3.8,1.1,7.1
30,2.9,1.0,7.2
150,3.4,0.8,7.2
90,2.8,1.0,7.3
19,4.0,1.3,7.4
30,4.7,1.4,7.1
6,3.1,1.6,7.3
18,3.9,1.4,7.4
332,4.3,1.0,7.2
37,3.4,1.2,7.2
22,3.2,1.1,7.2
13,2.3,1.4,7.3
88,3.0,1.0,7.1
90,3.7,1.1,7.0
89,3.1,1.0,7.0
74,3.4,1.1,7.1
104,3.1,1.0,7.1
280,4.3,1.0,7.2
276,4.3,0.9,7.2
156,3.8,1.1,7.2
316,4.1,0.8,7.2
218,4.5,0.9,7.8
308,4.0,1.0,7.2
306,4.0,1.0,7.2
193,4.4,0.9,7.3
373,3.7,0.7,7.1
343,5.8,1.2,7.3
49,3.2,1.0,7.1
48,2.6,1.1,7.3
63,2.7,1.0,7.2
102,3.3,1.0,7.3
158,4.0,1.0,7.2
77,4.0,1.2,7.3
87,4.5,1.1,7.3
107,4.2,1.1,7.3
71,3.3,1.1,7.3
100,4.4,1.1,7.2
163,3.9,1.0,7.3
150,1.8,0.8,7.3
270,4.1,1.0,7.3
99,3.8,1.0,7.4
214,4.2,1.0,7.4
194,5.0,1.0,7.7
95,3.2,1.1,7.2
220,5.1,1.0,7.2
87,3.8,0.9,7.2
232,3.9,0.9,7.2
392,5.7,1.4,7.0
402,3.7,1.2,7.3
45,3.6,1.2,7.3
39,4.6,1.3,7.1
422,2.3,0.9,7.5
43,4.0,1.1,7.2
301,3.1,0.9,7.4
182,3.6,0.9,6.9
121,4.1,1.2,6.9
252,3.6,0.9,7.4
289,3.2,0.9,7.4
117,1.9,0.7,7.1
48,4.0,1.3,7.1
295,4.4,1.0,7.4
562,4.5,1.0,7.0
24,3.8,1.1,7.3
137,1.9,0.7,7.3
20,4.2,1.2,7.3
117,4.2,0.9,7.3
42,2.7,1.1,7.3
296,4.1,0.9,7.3
76,2.9,0.9,7.2
53,3.9,0.9,7.2
88,3.3,0.9,7.3
141,3.0,0.9,7.1
87,2.6,0.9,7.2
141,3.4,0.9,7.1
310,4.4,1.0,7.4
229,4.6,1.0,7.2
384,3.0,1.1,7.2
240,4.5,1.0,7.3
158,3.0,0.9,7.2
32,3.7,1.2,7.3
534,3.6,0.9,7.1
131,1.0,1.0,7.3
3,2.9,1.3,7.3
57,3.5,1.1,7.1
19,3.4,1.3,7.2
86,2.8,1.2,7.5
98,2.1,1.2,7.5
220,5.3,1.1,7.0
28,2.8,1.3,7.3
38,3.7,1.2,7.0
11,2.4,1.3,7.4
68,2.1,1.1,7.2
4,2.3,1.5,7.3
49,4.0,1.1,7.2
69,1.8,1.1,7.2
201,4.6,0.9,7.1
377,3.6,1.3,7.2
52,3.7,1.2,7.1
139,2.9,0.9,7.3
20,2.1,1.2,7.4
80,2.8,0.9,7.0
97,4.1,1.1,7.1
208,4.1,0.9,7.2
378,3.6,1.3,7.2
101,3.7,1.1,7.1
6,2.7,1.1,7.2
89,2.2,1.0,7.3
111,2.7,1.0,7.0
249,3.3,1.0,7.0
342,4.2,1.0,7.5
71,4.5,1.1,7.3
264,3.2,0.8,7.2
247,3.3,0.6,7.1
266,3.3,0.7,7.2
216,3.0,0.9,7.1
133,7.1,1.1,6.8
226,4.5,0.9,6.9
299,3.4,0.8,7.0
38,4.2,1.2,7.3
249,3.0,0.6,7.2
57,3.2,1.3,7.2
100,3.7,1.0,7.3
79,3.7,1.0,7.2
67,3.6,0.9,7.3
211,3.2,0.9,7.0
240,3.1,0.9,7.2
228,3.3,1.0,7.2
217,3.3,1.0,7.0
13,3.1,1.1,7.3
14,3.5,1.1,7.2
64,2.6,1.3,7.3
95,3.8,0.8,7.2
68,3.6,0.9,7.1
295,1.7,0.8,7.2
200,2.7,1.0,7.2
128,3.3,0.9,7.1
9,3.3,1.2,7.2
22,3.5,1.0,7.3
7,1.9,1.0,7.2
17,3.6,1.1,7.2
48,2.9,1.4,7.2
230,4.7,1.3,6.9
159,1.9,0.9,7.2
41,2.7,1.1,7.5
7,3.5,1.4,7.4
49,3.6,1.3,7.3
3,3.5,1.2,7.4
23,3.1,1.1,7.2
33,2.7,1.1,7.5
48,3.0,0.9,7.1
377,3.6,1.3,7.1
89,3.2,1.1,7.2
56,4.3,1.1,7.1
434,2.0,1.0,7.2
57,2.1,1.0,7.1
30,2.8,1.2,7.4
21,3.6,1.3,7.3
116,3.6,1.1,7.1
217,5.9,1.3,7.2
77,3.7,1.1,6.9
28,3.5,1.3,7.3
